,dtype,n_null,n_unique,pct_null
Booking_ID,str,0,36275,0.0
no_of_adults,int64,0,5,0.0
no_of_children,int64,0,6,0.0
no_of_weekend_nights,int64,0,8,0.0
no_of_week_nights,int64,0,18,0.0
type_of_meal_plan,str,0,4,0.0
required_car_parking_space,int64,0,2,0.0
room_type_reserved,str,0,7,0.0
lead_time,int64,0,352,0.0
arrival_year,int64,0,2,0.0
arrival_month,int64,0,12,0.0
arrival_date,int64,0,31,0.0
market_segment_type,str,0,5,0.0
repeated_guest,int64,0,2,0.0
no_of_previous_cancellations,int64,0,9,0.0
no_of_previous_bookings_not_canceled,int64,0,59,0.0
avg_price_per_room,float64,0,3930,0.0
no_of_special_requests,int64,0,6,0.0
booking_status,str,0,2,0.0
