,arrival_year,arrival_month,total,canceled,cancel_rate
0,2017,7,363,243,66.94214876033058
1,2017,8,1014,185,18.244575936883628
2,2017,9,1649,182,11.036992116434202
3,2017,10,1913,302,15.78672242550967
4,2017,11,647,27,4.1731066460587325
5,2017,12,928,22,2.3706896551724137
6,2018,1,1014,24,2.366863905325444
7,2018,2,1704,430,25.234741784037556
8,2018,3,2358,700,29.686174724342663
9,2018,4,2736,995,36.36695906432749
10,2018,5,2598,948,36.489607390300236
11,2018,6,3203,1291,40.30596315953793
12,2018,7,2557,1071,41.88502150958154
13,2018,8,2799,1303,46.55234012147195
14,2018,9,2962,1356,45.77987846049966
15,2018,10,3404,1578,46.3572267920094
16,2018,11,2333,848,36.34804972138877
17,2018,12,2093,380,18.15575728619207
