,canceled,lead_time,avg_price_per_room,no_of_adults,no_of_children,total_nights,total_guests,no_of_special_requests,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,required_car_parking_space,repeated_guest
canceled,1.0,0.4182134356227625,0.16083130699503848,0.09077256358699619,0.027627986396003164,0.08967405981052964,0.09305762001181464,-0.2562897001296749,-0.05791712758544497,-0.10285631493081246,-0.08618527694671368,-0.10728663623049946
lead_time,0.4182134356227625,1.0,-0.020529977620278594,0.16643179077174203,-0.025875119498304764,0.26106858519869064,0.13334273265498447,-0.08065926674342758,-0.10115571143279929,-0.19089723443954398,-0.07873188362220906,-0.1958861854024996
avg_price_per_room,0.16083130699503848,-0.020529977620278594,1.0,0.2834878184864084,0.24396399140536337,-0.0054167484189568665,0.3634456250503405,0.19765662550372853,-0.1025463106794066,-0.1778117332030069,0.05635671159936925,-0.17766996384304123
no_of_adults,0.09077256358699619,0.16643179077174203,0.2834878184864084,1.0,0.029712931576615496,0.1945912996124067,0.8858215485944744,0.19925301201463497,-0.0997089369553468,-0.20659588490110975,0.009648989685885382,-0.20286886359797635
no_of_children,0.027627986396003164,-0.025875119498304764,0.24396399140536337,0.029712931576615496,1.0,0.03115182729495652,0.4826022986743835,0.13513465052673965,-0.026414565264885108,-0.033902390112444884,0.03292369739275386,-0.037520321689835656
total_nights,0.08967405981052964,0.26106858519869064,-0.0054167484189568665,0.1945912996124067,0.03115182729495652,1.0,0.1862045399511697,0.07735816504593261,-0.057074924470003334,-0.14414041554602508,-0.06276279047892368,-0.1381326928151234
total_guests,0.09305762001181464,0.13334273265498447,0.3634456250503405,0.8858215485944744,0.4826022986743835,0.1862045399511697,1.0,0.23641827498794815,-0.09963805756661513,-0.19682405736212236,0.02397845085641291,-0.19526442547946904
no_of_special_requests,-0.2562897001296749,-0.08065926674342758,0.19765662550372853,0.19925301201463497,0.13513465052673965,0.07735816504593261,0.23641827498794815,1.0,-0.02415718432575571,0.0007449780752765214,0.09438647948607026,-0.013249019935946597
no_of_previous_cancellations,-0.05791712758544497,-0.10115571143279929,-0.1025463106794066,-0.0997089369553468,-0.026414565264885108,-0.057074924470003334,-0.09963805756661513,-0.02415718432575571,1.0,0.4167104957388533,0.032408566441416604,0.5978674684316045
no_of_previous_bookings_not_canceled,-0.10285631493081246,-0.19089723443954398,-0.1778117332030069,-0.20659588490110975,-0.033902390112444884,-0.14414041554602508,-0.19682405736212236,0.0007449780752765214,0.4167104957388533,1.0,0.11815578946529445,0.9327745667745501
required_car_parking_space,-0.08618527694671368,-0.07873188362220906,0.05635671159936925,0.009648989685885382,0.03292369739275386,-0.06276279047892368,0.02397845085641291,0.09438647948607026,0.032408566441416604,0.11815578946529445,1.0,0.11090889048181694
repeated_guest,-0.10728663623049946,-0.1958861854024996,-0.17766996384304123,-0.20286886359797635,-0.037520321689835656,-0.1381326928151234,-0.19526442547946904,-0.013249019935946597,0.5978674684316045,0.9327745667745501,0.11090889048181694,1.0
