,max_depth,train_accuracy,val_accuracy,train_f1,val_f1
0,1,0.7606935884463251,0.7611754966887417,0.5416262884327372,0.5500389914218872
1,2,0.6175144880875725,0.6176876379690949,0.5945787831513261,0.5961230141378808
2,3,0.7868641339343206,0.7833885209713024,0.6920520999468368,0.6892319873317498
3,4,0.8095391408334099,0.8129139072847682,0.7223600402279584,0.72650262202501
4,5,0.826050961273112,0.8243653421633554,0.7419134707247168,0.73951299365664
5,6,0.830098427007635,0.8325055187637969,0.7531408714247527,0.7569082899479376
6,7,0.8344218563149665,0.8307119205298014,0.7679814385150812,0.7636293585051049
7,8,0.8517155735442922,0.8446467991169978,0.7863202545068929,0.7765873015873016
8,9,0.8631680618158403,0.8460264900662252,0.803487680824361,0.781090623774029
9,10,0.8763683193818416,0.8565121412803532,0.8206804536357571,0.7932405566600398
10,11,0.8884647226566094,0.8631346578366446,0.8371718256899214,0.8018377946464242
11,12,0.9030447980866526,0.8687913907284768,0.8557942262963469,0.8061952313022214
12,13,0.908058136326005,0.8661699779249448,0.8653600053882939,0.8041986273718208
13,14,0.9178548431607028,0.8672737306843267,0.8790136837826853,0.8051842851356824
14,15,0.9288933860730384,0.869757174392936,0.8951722267426092,0.8085192697768763
15,16,0.9374482568300985,0.8672737306843267,0.908070839529539,0.8060483870967742
16,17,0.9479348725968172,0.8661699779249448,0.9228987876311129,0.8034049452776652
17,18,0.955293901205041,0.8676876379690949,0.9335702569710225,0.8052791878172589
18,19,0.9632968448164843,0.8718267108167771,0.9451395572666025,0.809122662831313
19,20,0.9681722012694325,0.8692052980132451,0.9525507405375754,0.8063725490196079
