,feature,selected
0,num__no_of_adults,True
1,num__no_of_weekend_nights,True
2,num__lead_time,True
3,num__arrival_month,True
4,num__required_car_parking_space,True
5,num__avg_price_per_room,True
6,num__no_of_special_requests,True
7,num__total_guests,True
8,num__arrival_season,True
9,cat__type_of_meal_plan_Meal Plan 2,True
10,cat__type_of_meal_plan_Not Selected,True
11,cat__room_type_reserved_Room_Type 1,True
12,cat__market_segment_type_Offline,True
13,cat__market_segment_type_Online,True
14,num__no_of_children,False
15,num__no_of_week_nights,False
16,num__repeated_guest,False
17,num__no_of_previous_cancellations,False
18,num__no_of_previous_bookings_not_canceled,False
19,num__total_nights,False
20,num__has_children,False
21,num__log_lead_time,False
22,num__log_price,False
23,num__price_is_zero,False
24,num__is_weekend_stay,False
25,num__arrival_dow,False
26,num__has_special_request,False
27,num__prior_cancel_rate,False
28,cat__type_of_meal_plan_Meal Plan 1,False
29,cat__type_of_meal_plan_infrequent_sklearn,False
30,cat__room_type_reserved_Room_Type 2,False
31,cat__room_type_reserved_Room_Type 4,False
32,cat__room_type_reserved_Room_Type 5,False
33,cat__room_type_reserved_Room_Type 6,False
34,cat__room_type_reserved_Room_Type 7,False
35,cat__room_type_reserved_infrequent_sklearn,False
36,cat__market_segment_type_Aviation,False
37,cat__market_segment_type_Complementary,False
38,cat__market_segment_type_Corporate,False
