,max_depth,train_rmse,val_rmse,gap
0,1,29.049,29.373,0.323
1,2,27.088,27.379,0.292
2,3,25.817,25.926,0.109
3,4,24.3,24.259,-0.041
4,5,23.113,23.45,0.337
5,6,22.197,22.94,0.744
6,7,21.416,22.317,0.901
7,8,20.52,21.77,1.251
8,9,19.525,21.186,1.661
9,10,18.523,20.87,2.347
10,11,17.565,20.603,3.038
11,12,16.459,20.414,3.955
12,13,15.358,20.451,5.092
13,14,14.188,20.701,6.513
14,15,13.074,20.752,7.678
15,16,11.87,20.644,8.774
16,17,10.783,20.813,10.029
17,18,9.592,21.11,11.517
18,19,8.573,21.063,12.49
19,20,7.609,21.288,13.679
